Domain_Time,Duration(s)
2023-03-20 10:38:02,2.32798
2023-03-20 10:38:03,2.36192
2023-03-20 10:38:04,2.29525
2023-03-20 10:38:05,2.29648
2023-03-20 10:38:06,2.29351
2023-03-20 10:38:07,2.26348
2023-03-20 10:38:08,2.26395
2023-03-20 10:38:09,2.26998
2023-03-20 10:38:10,2.46914
2023-03-20 10:38:11,2.43528
2023-03-20 10:38:12,2.28395
2023-03-20 10:38:13,2.27876
2023-03-20 10:38:14,2.29223
2023-03-20 10:38:15,2.30106
2023-03-20 10:38:16,2.48525
2023-03-20 10:38:17,2.31986
2023-03-20 10:38:18,2.32634
2023-03-20 10:38:19,2.36817
2023-03-20 10:38:20,2.35566
2023-03-20 10:38:21,2.56952
2023-03-20 10:38:22,2.36428
2023-03-20 10:38:23,2.3355
2023-03-20 10:38:24,2.34737
2023-03-20 10:38:25,2.3861
2023-03-20 10:38:26,2.34208
2023-03-20 10:38:27,2.50386
2023-03-20 10:38:28,2.29387
2023-03-20 10:38:29,2.29157
2023-03-20 10:38:30,2.31645
2023-03-20 10:38:31,2.27692
2023-03-20 10:38:32,2.52827
2023-03-20 10:38:33,45.43015
2023-03-20 10:38:34,2.32965
2023-03-20 10:38:35,2.30313
2023-03-20 10:38:36,2.36472
2023-03-20 10:38:37,2.40573
2023-03-20 10:38:38,2.31416
2023-03-20 10:38:39,2.27156
2023-03-20 10:38:40,2.28246
2023-03-20 10:38:41,2.28538
2023-03-20 10:38:42,2.67812
2023-03-20 10:38:43,2.27825
2023-03-20 10:38:44,2.3101
2023-03-20 10:38:45,2.28373
2023-03-20 10:38:46,2.27978
2023-03-20 10:38:47,2.30207
2023-03-20 10:38:48,2.27045
2023-03-20 10:38:49,2.30165
2023-03-20 10:38:50,2.31795
2023-03-20 10:38:51,2.2631
2023-03-20 10:38:52,2.25054
2023-03-20 10:38:53,2.33467
2023-03-20 10:38:54,2.29998
2023-03-20 10:38:55,2.33349
2023-03-20 10:38:56,2.27366
2023-03-20 10:38:57,2.30014
2023-03-20 10:38:58,2.33808
2023-03-20 10:38:59,2.551
2023-03-20 10:39:00,2.29309
2023-03-20 10:39:01,2.29239
2023-03-20 10:39:02,2.27571
2023-03-20 10:39:03,2.31891
2023-03-20 10:39:04,2.36558
2023-03-20 10:39:05,2.29601
2023-03-20 10:39:06,2.30611
2023-03-20 10:39:07,2.4678
2023-03-20 10:39:08,2.32238
2023-03-20 10:39:09,2.30364
2023-03-20 10:39:10,2.27727
2023-03-20 10:39:11,2.33633
2023-03-20 10:39:12,2.32952
2023-03-20 10:39:13,2.31329
2023-03-20 10:39:14,2.28663
2023-03-20 10:39:15,2.41264
2023-03-20 10:39:16,2.29875
2023-03-20 10:39:17,2.31022
2023-03-20 10:39:18,2.40206
2023-03-20 10:39:19,2.35439
2023-03-20 10:39:20,2.2842
2023-03-20 10:39:21,2.33892
2023-03-20 10:39:22,2.24728
2023-03-20 10:39:23,2.3303
2023-03-20 10:39:24,2.31697
2023-03-20 10:39:25,2.35013
2023-03-20 10:39:26,2.28129
2023-03-20 10:39:27,2.33277
2023-03-20 10:39:28,2.30401
2023-03-20 10:39:29,2.38173
2023-03-20 10:39:30,2.32775
2023-03-20 10:39:31,2.38501
2023-03-20 10:39:32,2.2707
2023-03-20 10:39:33,46.24326
2023-03-20 10:39:34,2.3312
2023-03-20 10:39:35,2.51362
2023-03-20 10:39:36,2.26974
2023-03-20 10:39:37,2.31551
2023-03-20 10:39:38,2.28579
2023-03-20 10:39:39,2.27882
2023-03-20 10:39:40,2.33856
2023-03-20 10:39:41,2.26023
